Covid 19 Outbreak NL data;
Patients;Date
4204;22-Mar-2020
4749;23-Mar-2020
5560;24-Mar-2020
6412;25-Mar-2020
;26-Mar-2020
;27-Mar-2020
;28-Mar-2020
;29-Mar-2020
;30-Mar-2020
;31-Mar-2020
;1-Apr-2020
;2-Apr-2020
;3-Apr-2020
;4-Apr-2020
;5-Apr-2020
;6-Apr-2020
;7-Apr-2020
;8-Apr-2020
;9-Apr-2020
;10-Apr-2020
;11-Apr-2020
;12-Apr-2020
;13-Apr-2020
;14-Apr-2020
;15-Apr-2020
;16-Apr-2020
;17-Apr-2020
;18-Apr-2020
;19-Apr-2020
;20-Apr-2020
;21-Apr-2020
;22-Apr-2020
;23-Apr-2020
;24-Apr-2020
;25-Apr-2020
;26-Apr-2020
;27-Apr-2020
;28-Apr-2020
;29-Apr-2020
;30-Apr-2020
;1-May-2020
;2-May-2020
;3-May-2020
;4-May-2020
;5-May-2020
;6-May-2020
;7-May-2020
;8-May-2020
;9-May-2020
;10-May-2020
;11-May-2020
;12-May-2020
;13-May-2020
;14-May-2020
;15-May-2020
;16-May-2020
;17-May-2020
;18-May-2020
;19-May-2020
